Y	1div10	1	10
   2.0012498e+01	   2.4927752e+00	   2.7539285e+00	   3.9467119e+00	
   2.0244465e+01	   2.5014085e+00	   2.7634662e+00	   3.9603806e+00	
   2.0479121e+01	   2.5100717e+00	   2.7730370e+00	   3.9740966e+00	
   2.0716497e+01	   2.5187648e+00	   2.7826409e+00	   3.9878602e+00	
   2.0956624e+01	   2.5274881e+00	   2.7922780e+00	   4.0016714e+00	
   2.1199535e+01	   2.5362416e+00	   2.8019486e+00	   4.0155305e+00	
   2.1445261e+01	   2.5450254e+00	   2.8116526e+00	   4.0294376e+00	
   2.1693835e+01	   2.5538397e+00	   2.8213903e+00	   4.0433928e+00	
   2.1945291e+01	   2.5626844e+00	   2.8311616e+00	   4.0573963e+00	
   2.2199661e+01	   2.5715598e+00	   2.8409669e+00	   4.0714484e+00	
   2.2456980e+01	   2.5804660e+00	   2.8508060e+00	   4.0855491e+00	
   2.2717281e+01	   2.5894029e+00	   2.8606793e+00	   4.0996987e+00	
   2.2980600e+01	   2.5983709e+00	   2.8705867e+00	   4.1138972e+00	
   2.3246971e+01	   2.6073698e+00	   2.8805285e+00	   4.1281450e+00	
   2.3516429e+01	   2.6164000e+00	   2.8905047e+00	   4.1424420e+00	
   2.3789010e+01	   2.6254614e+00	   2.9005154e+00	   4.1567886e+00	
   2.4064752e+01	   2.6345542e+00	   2.9105608e+00	   4.1711849e+00	
   2.4343689e+01	   2.6436785e+00	   2.9206410e+00	   4.1856311e+00	
   2.4625859e+01	   2.6528344e+00	   2.9307561e+00	   4.2001272e+00	
   2.4911300e+01	   2.6620220e+00	   2.9409063e+00	   4.2146736e+00	
   2.5200050e+01	   2.6712415e+00	   2.9510916e+00	   4.2292704e+00	
   2.5492147e+01	   2.6804928e+00	   2.9613121e+00	   4.2439177e+00	
   2.5787629e+01	   2.6897762e+00	   2.9715681e+00	   4.2586157e+00	
   2.6086536e+01	   2.6990918e+00	   2.9818596e+00	   4.2733647e+00	
   2.6388908e+01	   2.7084396e+00	   2.9921867e+00	   4.2881647e+00	
   2.6694785e+01	   2.7178198e+00	   3.0025496e+00	   4.3030160e+00	
   2.7004207e+01	   2.7272325e+00	   3.0129484e+00	   4.3179187e+00	
   2.7317216e+01	   2.7366777e+00	   3.0233832e+00	   4.3328730e+00	
   2.7633853e+01	   2.7461557e+00	   3.0338541e+00	   4.3478791e+00	
   2.7954160e+01	   2.7556665e+00	   3.0443613e+00	   4.3629372e+00	
   2.8278180e+01	   2.7652103e+00	   3.0549049e+00	   4.3780475e+00	
   2.8605955e+01	   2.7747871e+00	   3.0654850e+00	   4.3932100e+00	
   2.8937530e+01	   2.7843971e+00	   3.0761018e+00	   4.4084251e+00	
   2.9272948e+01	   2.7940403e+00	   3.0867553e+00	   4.4236929e+00	
   2.9612254e+01	   2.8037170e+00	   3.0974457e+00	   4.4390136e+00	
   2.9955493e+01	   2.8134271e+00	   3.1081732e+00	   4.4543873e+00	
   3.0302711e+01	   2.8231709e+00	   3.1189378e+00	   4.4698142e+00	
   3.0653953e+01	   2.8329485e+00	   3.1297396e+00	   4.4852946e+00	
   3.1009266e+01	   2.8427599e+00	   3.1405789e+00	   4.5008286e+00	
   3.1368698e+01	   2.8526052e+00	   3.1514557e+00	   4.5164164e+00	
   3.1732296e+01	   2.8624847e+00	   3.1623702e+00	   4.5320582e+00	
   3.2100109e+01	   2.8723984e+00	   3.1733225e+00	   4.5477542e+00	
   3.2472185e+01	   2.8823465e+00	   3.1843128e+00	   4.5635045e+00	
   3.2848574e+01	   2.8923289e+00	   3.1953411e+00	   4.5793094e+00	
   3.3229325e+01	   2.9023460e+00	   3.2064075e+00	   4.5951690e+00	
   3.3614490e+01	   2.9123977e+00	   3.2175123e+00	   4.6110835e+00	
   3.4004119e+01	   2.9224843e+00	   3.2286556e+00	   4.6270532e+00	
   3.4398265e+01	   2.9326058e+00	   3.2398375e+00	   4.6430781e+00	
   3.4796979e+01	   2.9427623e+00	   3.2510581e+00	   4.6591586e+00	
   3.5200315e+01	   2.9529541e+00	   3.2623175e+00	   4.6752947e+00	
   3.5608326e+01	   2.9631811e+00	   3.2736160e+00	   4.6914868e+00	
   3.6021066e+01	   2.9734435e+00	   3.2849535e+00	   4.7077349e+00	
   3.6438590e+01	   2.9837415e+00	   3.2963304e+00	   4.7240393e+00	
