price	lev1	lev3	levCnt1
   1.6486486e+03   1.1967213e+00   1.7868852e+00   1.2822998e+00
   1.6576577e+03   1.1983696e+00   1.7934783e+00   1.2857843e+00
   1.6666667e+03   1.2000000e+00   1.8000000e+00   1.2892594e+00
   1.6756757e+03   1.2016129e+00   1.8064516e+00   1.2927251e+00
   1.6846847e+03   1.2032086e+00   1.8128342e+00   1.2961816e+00
   1.6936937e+03   1.2047872e+00   1.8191489e+00   1.2996289e+00
   1.7027027e+03   1.2063492e+00   1.8253968e+00   1.3030671e+00
   1.7117117e+03   1.2078947e+00   1.8315789e+00   1.3064962e+00
   1.7207207e+03   1.2094241e+00   1.8376963e+00   1.3099163e+00
   1.7297297e+03   1.2109375e+00   1.8437500e+00   1.3133276e+00
   1.7387387e+03   1.2124352e+00   1.8497409e+00   1.3167300e+00
   1.7477477e+03   1.2139175e+00   1.8556701e+00   1.3201236e+00
   1.7567568e+03   1.2153846e+00   1.8615385e+00   1.3235086e+00
   1.7657658e+03   1.2168367e+00   1.8673469e+00   1.3268849e+00
   1.7747748e+03   1.2182741e+00   1.8730964e+00   1.3302526e+00
   1.7837838e+03   1.2196970e+00   1.8787879e+00   1.3336118e+00
   1.7927928e+03   1.2211055e+00   1.8844221e+00   1.3369626e+00
   1.8018018e+03   1.2225000e+00   1.8900000e+00   1.3403050e+00
   1.8108108e+03   1.2238806e+00   1.8955224e+00   1.3436391e+00
   1.8198198e+03   1.2252475e+00   1.9009901e+00   1.3469649e+00
   1.8288288e+03   1.2266010e+00   1.9064039e+00   1.3502826e+00
   1.8378378e+03   1.2279412e+00   1.9117647e+00   1.3535921e+00
   1.8468468e+03   1.2292683e+00   1.9170732e+00   1.3568935e+00
   1.8558559e+03   1.2305825e+00   1.9223301e+00   1.3601870e+00
   1.8648649e+03   1.2318841e+00   1.9275362e+00   1.3634724e+00
   1.8738739e+03   1.2331731e+00   1.9326923e+00   1.3667500e+00
   1.8828829e+03   1.2344498e+00   1.9377990e+00   1.3700198e+00
   1.8918919e+03   1.2357143e+00   1.9428571e+00   1.3732817e+00
   1.9009009e+03   1.2369668e+00   1.9478673e+00   1.3765359e+00
   1.9099099e+03   1.2382075e+00   1.9528302e+00   1.3797825e+00
   1.9189189e+03   1.2394366e+00   1.9577465e+00   1.3830214e+00
   1.9279279e+03   1.2406542e+00   1.9626168e+00   1.3862528e+00
   1.9369369e+03   1.2418605e+00   1.9674419e+00   1.3894766e+00
   1.9459459e+03   1.2430556e+00   1.9722222e+00   1.3926930e+00
   1.9549550e+03   1.2442396e+00   1.9769585e+00   1.3959020e+00
   1.9639640e+03   1.2454128e+00   1.9816514e+00   1.3991036e+00
   1.9729730e+03   1.2465753e+00   1.9863014e+00   1.4022979e+00
   1.9819820e+03   1.2477273e+00   1.9909091e+00   1.4054849e+00
   1.9909910e+03   1.2488688e+00   1.9954751e+00   1.4086647e+00
   2.0000000e+03   1.2500000e+00   2.0000000e+00   1.4118374e+00
   2.0090090e+03   1.2511211e+00   2.0044843e+00   1.4150030e+00
   2.0180180e+03   1.2522321e+00   2.0089286e+00   1.4181614e+00
   2.0270270e+03   1.2533333e+00   2.0133333e+00   1.4213129e+00
   2.0360360e+03   1.2544248e+00   2.0176991e+00   1.4244574e+00
   2.0450450e+03   1.2555066e+00   2.0220264e+00   1.4275950e+00
   2.0540541e+03   1.2565789e+00   2.0263158e+00   1.4307257e+00
   2.0630631e+03   1.2576419e+00   2.0305677e+00   1.4338495e+00
   2.0720721e+03   1.2586957e+00   2.0347826e+00   1.4369666e+00
   2.0810811e+03   1.2597403e+00   2.0389610e+00   1.4400769e+00
   2.0900901e+03   1.2607759e+00   2.0431034e+00   1.4431805e+00
   2.0990991e+03   1.2618026e+00   2.0472103e+00   1.4462775e+00
   2.1081081e+03   1.2628205e+00   2.0512821e+00   1.4493678e+00
   2.1171171e+03   1.2638298e+00   2.0553191e+00   1.4524516e+00
   2.1261261e+03   1.2648305e+00   2.0593220e+00   1.4555288e+00
   2.1351351e+03   1.2658228e+00   2.0632911e+00   1.4585995e+00
   2.1441441e+03   1.2668067e+00   2.0672269e+00   1.4616638e+00
   2.1531532e+03   1.2677824e+00   2.0711297e+00   1.4647217e+00
   2.1621622e+03   1.2687500e+00   2.0750000e+00   1.4677732e+00
   2.1711712e+03   1.2697095e+00   2.0788382e+00   1.4708184e+00
   2.1801802e+03   1.2706612e+00   2.0826446e+00   1.4738573e+00
   2.1891892e+03   1.2716049e+00   2.0864198e+00   1.4768899e+00
   2.1981982e+03   1.2725410e+00   2.0901639e+00   1.4799163e+00
   2.2072072e+03   1.2734694e+00   2.0938776e+00   1.4829365e+00
   2.2162162e+03   1.2743902e+00   2.0975610e+00   1.4859506e+00
   2.2252252e+03   1.2753036e+00   2.1012146e+00   1.4889586e+00
   2.2342342e+03   1.2762097e+00   2.1048387e+00   1.4919606e+00
   2.2432432e+03   1.2771084e+00   2.1084337e+00   1.4949565e+00
   2.2522523e+03   1.2780000e+00   2.1120000e+00   1.4979464e+00
   2.2612613e+03   1.2788845e+00   2.1155378e+00   1.5009303e+00
   2.2702703e+03   1.2797619e+00   2.1190476e+00   1.5039084e+00
   2.2792793e+03   1.2806324e+00   2.1225296e+00   1.5068805e+00
   2.2882883e+03   1.2814961e+00   2.1259843e+00   1.5098468e+00
   2.2972973e+03   1.2823529e+00   2.1294118e+00   1.5128073e+00
   2.3063063e+03   1.2832031e+00   2.1328125e+00   1.5157620e+00
   2.3153153e+03   1.2840467e+00   2.1361868e+00   1.5187110e+00
   2.3243243e+03   1.2848837e+00   2.1395349e+00   1.5216542e+00
   2.3333333e+03   1.2857143e+00   2.1428571e+00   1.5245918e+00
   2.3423423e+03   1.2865385e+00   2.1461538e+00   1.5275237e+00
   2.3513514e+03   1.2873563e+00   2.1494253e+00   1.5304500e+00
   2.3603604e+03   1.2881679e+00   2.1526718e+00   1.5333707e+00
   2.3693694e+03   1.2889734e+00   2.1558935e+00   1.5362858e+00
   2.3783784e+03   1.2897727e+00   2.1590909e+00   1.5391955e+00
   2.3873874e+03   1.2905660e+00   2.1622642e+00   1.5420996e+00
   2.3963964e+03   1.2913534e+00   2.1654135e+00   1.5449983e+00
   2.4054054e+03   1.2921348e+00   2.1685393e+00   1.5478915e+00
   2.4144144e+03   1.2929104e+00   2.1716418e+00   1.5507794e+00
   2.4234234e+03   1.2936803e+00   2.1747212e+00   1.5536619e+00
   2.4324324e+03   1.2944444e+00   2.1777778e+00   1.5565390e+00
   2.4414414e+03   1.2952030e+00   2.1808118e+00   1.5594109e+00
   2.4504505e+03   1.2959559e+00   2.1838235e+00   1.5622774e+00
   2.4594595e+03   1.2967033e+00   2.1868132e+00   1.5651388e+00
   2.4684685e+03   1.2974453e+00   2.1897810e+00   1.5679948e+00
   2.4774775e+03   1.2981818e+00   2.1927273e+00   1.5708457e+00
   2.4864865e+03   1.2989130e+00   2.1956522e+00   1.5736915e+00
   2.4954955e+03   1.2996390e+00   2.1985560e+00   1.5765321e+00
   2.5045045e+03   1.3003597e+00   2.2014388e+00   1.5793676e+00
   2.5135135e+03   1.3010753e+00   2.2043011e+00   1.5821980e+00
